"","dt","AverageTemperature","AverageTemperatureUncertainty","Country","year","Category","Temp_F"
"243696","1796-01-01",17.044,2.044,"India",1796,"Cold",62.6792
"243697","1796-02-01",19.193,1.359,"India",1796,"Cold",66.5474
"243698","1796-03-01",22.319,2.125,"India",1796,"Normal",72.1742
"243699","1796-04-01",27.233,1.51,"India",1796,"Normal",81.0194
"243700","1796-05-01",30.035,1.338,"India",1796,"Hot",86.063
"243701","1796-06-01",29.261,2.953,"India",1796,"Hot",84.6698
"243702","1796-07-01",26.8,2.19,"India",1796,"Normal",80.24
"243703","1796-08-01",26.558,2.866,"India",1796,"Normal",79.8044
"243704","1796-09-01",25.958,3.275,"India",1796,"Normal",78.7244
"243705","1796-10-01",24.031,1.352,"India",1796,"Normal",75.2558
"243706","1796-11-01",20.186,2.787,"India",1796,"Normal",68.3348
"243707","1796-12-01",15.485,3.734,"India",1796,"Cold",59.873
"243710","1797-03-01",22.879,1.73,"India",1797,"Normal",73.1822
"243711","1797-04-01",26.502,2.614,"India",1797,"Normal",79.7036
"243712","1797-05-01",29.364,2.11,"India",1797,"Hot",84.8552
"243713","1797-06-01",29.88,1.936,"India",1797,"Hot",85.784
"243714","1797-07-01",26.891,2.181,"India",1797,"Normal",80.4038
"243715","1797-08-01",26.716,2.072,"India",1797,"Normal",80.0888
"243716","1797-09-01",26.072,2.842,"India",1797,"Normal",78.9296
"243717","1797-10-01",23.67,1.945,"India",1797,"Normal",74.606
"243718","1797-11-01",19.323,1.578,"India",1797,"Cold",66.7814
"243719","1797-12-01",17.102,2.448,"India",1797,"Cold",62.7836
"243720","1798-01-01",17.226,1.759,"India",1798,"Cold",63.0068
"243721","1798-02-01",19.525,1.675,"India",1798,"Cold",67.145
"243722","1798-03-01",24.328,1.494,"India",1798,"Normal",75.7904
"243725","1798-06-01",29.369,1.93,"India",1798,"Hot",84.8642
"243726","1798-07-01",27.968,2.165,"India",1798,"Normal",82.3424
"243727","1798-08-01",27.009,3.968,"India",1798,"Normal",80.6162
"243728","1798-09-01",25.973,2.499,"India",1798,"Normal",78.7514
"243729","1798-10-01",23.898,2.061,"India",1798,"Normal",75.0164
"243730","1798-11-01",20.709,2.29,"India",1798,"Normal",69.2762
"243731","1798-12-01",16.728,1.864,"India",1798,"Cold",62.1104
"243732","1799-01-01",16.648,1.911,"India",1799,"Cold",61.9664
"243733","1799-02-01",17.976,2.203,"India",1799,"Cold",64.3568
"243734","1799-03-01",23.08,2.245,"India",1799,"Normal",73.544
"243735","1799-04-01",27.996,2.938,"India",1799,"Normal",82.3928
"243736","1799-05-01",30.217,1.382,"India",1799,"Hot",86.3906
"243737","1799-06-01",29.86,2.316,"India",1799,"Hot",85.748
"243738","1799-07-01",27.178,1.89,"India",1799,"Normal",80.9204
"243739","1799-08-01",26.674,1.217,"India",1799,"Normal",80.0132
"243740","1799-09-01",26.105,2.258,"India",1799,"Normal",78.989
"243741","1799-10-01",24.597,1.747,"India",1799,"Normal",76.2746
"243742","1799-11-01",20.158,1.49,"India",1799,"Normal",68.2844
"243743","1799-12-01",16.904,1.4,"India",1799,"Cold",62.4272
"243744","1800-01-01",17.081,1.654,"India",1800,"Cold",62.7458
"243745","1800-02-01",19.78,3.301,"India",1800,"Cold",67.604
"243746","1800-03-01",22.938,2.662,"India",1800,"Normal",73.2884
"243747","1800-04-01",28.458,1.502,"India",1800,"Hot",83.2244
"243748","1800-05-01",29.372,1.322,"India",1800,"Hot",84.8696
"243749","1800-06-01",29.261,1.317,"India",1800,"Hot",84.6698
"243750","1800-07-01",26.494,1.71,"India",1800,"Normal",79.6892
"243751","1800-08-01",26.069,2.065,"India",1800,"Normal",78.9242
"243752","1800-09-01",24.999,2.037,"India",1800,"Normal",76.9982
"243753","1800-10-01",24.318,2.107,"India",1800,"Normal",75.7724
"243754","1800-11-01",20.625,2.349,"India",1800,"Normal",69.125
"243755","1800-12-01",17.548,1.508,"India",1800,"Cold",63.5864
"243756","1801-01-01",17.433,1.443,"India",1801,"Cold",63.3794
"243757","1801-02-01",18.868,1.143,"India",1801,"Cold",65.9624
"243758","1801-03-01",25.084,1.661,"India",1801,"Normal",77.1512
"243761","1801-06-01",28.652,1.765,"India",1801,"Hot",83.5736
"243762","1801-07-01",27.272,2.513,"India",1801,"Normal",81.0896
"243763","1801-08-01",26.075,1.727,"India",1801,"Normal",78.935
"243764","1801-09-01",25.598,1.339,"India",1801,"Normal",78.0764
"243765","1801-10-01",24.001,1.444,"India",1801,"Normal",75.2018
"243766","1801-11-01",20.492,1.417,"India",1801,"Normal",68.8856
"243767","1801-12-01",18.276,3.032,"India",1801,"Cold",64.8968
"243768","1802-01-01",17.904,1.791,"India",1802,"Cold",64.2272
"243769","1802-02-01",19.734,1.528,"India",1802,"Cold",67.5212
"243770","1802-03-01",24.829,1.746,"India",1802,"Normal",76.6922
"243771","1802-04-01",27.816,1.788,"India",1802,"Normal",82.0688
"243772","1802-05-01",29.209,1.828,"India",1802,"Hot",84.5762
"243773","1802-06-01",30.397,1.5,"India",1802,"Hot",86.7146
"243774","1802-07-01",27.826,1.517,"India",1802,"Normal",82.0868
"243775","1802-08-01",26.581,1.435,"India",1802,"Normal",79.8458
"243776","1802-09-01",26.699,1.764,"India",1802,"Normal",80.0582
"243777","1802-10-01",24.564,2.885,"India",1802,"Normal",76.2152
"243778","1802-11-01",20.258,1.664,"India",1802,"Normal",68.4644
"243779","1802-12-01",16.795,1.692,"India",1802,"Cold",62.231
"243780","1803-01-01",15.603,1.764,"India",1803,"Cold",60.0854
"243781","1803-02-01",18.271,2.605,"India",1803,"Cold",64.8878
"243782","1803-03-01",23.323,1.891,"India",1803,"Normal",73.9814
"243783","1803-04-01",28.265,1.49,"India",1803,"Hot",82.877
"243784","1803-05-01",30.257,1.55,"India",1803,"Hot",86.4626
"243785","1803-06-01",29.643,1.28,"India",1803,"Hot",85.3574
"243786","1803-07-01",27.876,1.357,"India",1803,"Normal",82.1768
"243787","1803-08-01",27.79,1.718,"India",1803,"Normal",82.022
"243788","1803-09-01",26.732,1.584,"India",1803,"Normal",80.1176
"243789","1803-10-01",24.319,2.32,"India",1803,"Normal",75.7742
"243790","1803-11-01",20.749,1.978,"India",1803,"Normal",69.3482
"243791","1803-12-01",16.921,2.338,"India",1803,"Cold",62.4578
"243792","1804-01-01",17.443,3.427,"India",1804,"Cold",63.3974
"243793","1804-02-01",19.11,1.675,"India",1804,"Cold",66.398
"243794","1804-03-01",23.215,3.059,"India",1804,"Normal",73.787
"243795","1804-04-01",29.131,1.522,"India",1804,"Hot",84.4358
"243796","1804-05-01",30.692,1.631,"India",1804,"Hot",87.2456
"243797","1804-06-01",29.952,1.333,"India",1804,"Hot",85.9136
"243798","1804-07-01",28.694,2.112,"India",1804,"Hot",83.6492
"243799","1804-08-01",26.788,1.61,"India",1804,"Normal",80.2184
"243800","1804-09-01",26.513,2.946,"India",1804,"Normal",79.7234
"243801","1804-10-01",24.164,1.665,"India",1804,"Normal",75.4952
"243802","1804-11-01",21.624,3.057,"India",1804,"Normal",70.9232
"243803","1804-12-01",16.583,3.206,"India",1804,"Cold",61.8494
"243804","1805-01-01",17.173,1.473,"India",1805,"Cold",62.9114
"243805","1805-02-01",19.036,2.067,"India",1805,"Cold",66.2648
"243806","1805-03-01",23.942,1.208,"India",1805,"Normal",75.0956
"243807","1805-04-01",27.034,1.792,"India",1805,"Normal",80.6612
"243808","1805-05-01",30.077,1.203,"India",1805,"Hot",86.1386
"243809","1805-06-01",29.959,2.191,"India",1805,"Hot",85.9262
"243810","1805-07-01",27.069,1.561,"India",1805,"Normal",80.7242
"243811","1805-08-01",27.213,1.155,"India",1805,"Normal",80.9834
"243812","1805-09-01",25.936,1.955,"India",1805,"Normal",78.6848
"243813","1805-10-01",22.831,1.885,"India",1805,"Normal",73.0958
"243814","1805-11-01",19.951,2.549,"India",1805,"Cold",67.9118
"243815","1805-12-01",18.085,1.227,"India",1805,"Cold",64.553
"243816","1806-01-01",17.092,1.634,"India",1806,"Cold",62.7656
"243817","1806-02-01",19.019,2.233,"India",1806,"Cold",66.2342
"243818","1806-03-01",23.013,1.658,"India",1806,"Normal",73.4234
"243819","1806-04-01",27.359,2.577,"India",1806,"Normal",81.2462
"243820","1806-05-01",29.971,1.668,"India",1806,"Hot",85.9478
"243821","1806-06-01",28.054,1.609,"India",1806,"Hot",82.4972
"243822","1806-07-01",26.995,1.428,"India",1806,"Normal",80.591
"243823","1806-08-01",26.888,1.634,"India",1806,"Normal",80.3984
"243824","1806-09-01",26.855,1.874,"India",1806,"Normal",80.339
"243825","1806-10-01",23.754,1.25,"India",1806,"Normal",74.7572
"243826","1806-11-01",20.452,1.633,"India",1806,"Normal",68.8136
"243827","1806-12-01",17.662,1.89,"India",1806,"Cold",63.7916
"243828","1807-01-01",15.975,2.125,"India",1807,"Cold",60.755
"243829","1807-02-01",18.799,2.83,"India",1807,"Cold",65.8382
"243832","1807-05-01",27.873,1.598,"India",1807,"Normal",82.1714
"243833","1807-06-01",29.541,1.336,"India",1807,"Hot",85.1738
"243834","1807-07-01",27.631,1.999,"India",1807,"Normal",81.7358
"243835","1807-08-01",26.447,1.805,"India",1807,"Normal",79.6046
"243836","1807-09-01",26.465,1.514,"India",1807,"Normal",79.637
"243837","1807-10-01",23.586,1.163,"India",1807,"Normal",74.4548
"243838","1807-11-01",20.375,1.97,"India",1807,"Normal",68.675
"243839","1807-12-01",18.304,1.492,"India",1807,"Cold",64.9472
"243900","1813-01-01",14.479,2.782,"India",1813,"Cold",58.0622
"243901","1813-02-01",18.549,1.304,"India",1813,"Cold",65.3882
"243902","1813-03-01",21.409,5.277,"India",1813,"Normal",70.5362
"243903","1813-04-01",27.898,1.256,"India",1813,"Normal",82.2164
"243904","1813-05-01",30.54,4.591,"India",1813,"Hot",86.972
"243905","1813-06-01",28.332,2.197,"India",1813,"Hot",82.9976
"243906","1813-07-01",26.881,1.656,"India",1813,"Normal",80.3858
"243907","1813-08-01",25.304,1.193,"India",1813,"Normal",77.5472
"243908","1813-09-01",25.773,1.683,"India",1813,"Normal",78.3914
"243909","1813-10-01",23.198,1.232,"India",1813,"Normal",73.7564
"243910","1813-11-01",21.076,1.365,"India",1813,"Normal",69.9368
"243911","1813-12-01",15.816,1.602,"India",1813,"Cold",60.4688
"243912","1814-01-01",15.45,2.818,"India",1814,"Cold",59.81
"243913","1814-02-01",18.596,1.16,"India",1814,"Cold",65.4728
"243914","1814-03-01",22.213,1.736,"India",1814,"Normal",71.9834
"243915","1814-04-01",26.526,1.315,"India",1814,"Normal",79.7468
"243917","1814-06-01",28.93,1.638,"India",1814,"Hot",84.074
"243918","1814-07-01",25.53,2.672,"India",1814,"Normal",77.954
"243919","1814-08-01",25.325,1.478,"India",1814,"Normal",77.585
"243920","1814-09-01",24.583,1.304,"India",1814,"Normal",76.2494
"243921","1814-10-01",22.5,3.1,"India",1814,"Normal",72.5
"243922","1814-11-01",21.007,4.345,"India",1814,"Normal",69.8126
"243923","1814-12-01",18.571,4.781,"India",1814,"Cold",65.4278
"243924","1815-01-01",15.915,2.2,"India",1815,"Cold",60.647
"243925","1815-02-01",19.157,4.467,"India",1815,"Cold",66.4826
"243926","1815-03-01",22.208,2.973,"India",1815,"Normal",71.9744
"243927","1815-04-01",27.332,2.754,"India",1815,"Normal",81.1976
"243928","1815-05-01",29.24,3.093,"India",1815,"Hot",84.632
"243929","1815-06-01",26.523,1.578,"India",1815,"Normal",79.7414
"243930","1815-07-01",26.316,2.536,"India",1815,"Normal",79.3688
"243931","1815-08-01",25.577,1.608,"India",1815,"Normal",78.0386
"243932","1815-09-01",25.154,1.309,"India",1815,"Normal",77.2772
"243933","1815-10-01",22.034,2.609,"India",1815,"Normal",71.6612
"243934","1815-11-01",18.865,1.966,"India",1815,"Cold",65.957
"243935","1815-12-01",15.372,1.904,"India",1815,"Cold",59.6696
"243936","1816-01-01",16.376,4.049,"India",1816,"Cold",61.4768
"243937","1816-02-01",16.251,1.912,"India",1816,"Cold",61.2518
"243938","1816-03-01",22.414,1.484,"India",1816,"Normal",72.3452
"243939","1816-04-01",26.301,3.495,"India",1816,"Normal",79.3418
"243940","1816-05-01",29.514,2.011,"India",1816,"Hot",85.1252
"243941","1816-06-01",28.163,2.218,"India",1816,"Hot",82.6934
"243942","1816-07-01",25.06,1.475,"India",1816,"Normal",77.108
"243943","1816-08-01",24.848,1.015,"India",1816,"Normal",76.7264
"243944","1816-09-01",23.977,0.993,"India",1816,"Normal",75.1586
"243945","1816-10-01",21.404,5.186,"India",1816,"Normal",70.5272
"243946","1816-11-01",18.967,6.089,"India",1816,"Cold",66.1406
"243947","1816-12-01",15.813,1.524,"India",1816,"Cold",60.4634
"243948","1817-01-01",15.916,4.174,"India",1817,"Cold",60.6488
"243949","1817-02-01",18.828,2.39,"India",1817,"Cold",65.8904
"243950","1817-03-01",22.551,1.555,"India",1817,"Normal",72.5918
"243951","1817-04-01",27.052,1.745,"India",1817,"Normal",80.6936
"243952","1817-05-01",28.28,1.945,"India",1817,"Hot",82.904
"243953","1817-06-01",27.135,1.569,"India",1817,"Normal",80.843
"243954","1817-07-01",25.614,1.664,"India",1817,"Normal",78.1052
"243955","1817-08-01",25.669,1.561,"India",1817,"Normal",78.2042
"243956","1817-09-01",23.313,2.474,"India",1817,"Normal",73.9634
"243957","1817-10-01",21.903,2.403,"India",1817,"Normal",71.4254
"243958","1817-11-01",19.313,2.148,"India",1817,"Cold",66.7634
"243959","1817-12-01",15.572,2.697,"India",1817,"Cold",60.0296
"243960","1818-01-01",16.076,3.074,"India",1818,"Cold",60.9368
"243961","1818-02-01",18.023,1.706,"India",1818,"Cold",64.4414
"243962","1818-03-01",23.085,1.558,"India",1818,"Normal",73.553
"243963","1818-04-01",27.783,4.937,"India",1818,"Normal",82.0094
"243964","1818-05-01",29.952,2.935,"India",1818,"Hot",85.9136
"243965","1818-06-01",28.889,3.725,"India",1818,"Hot",84.0002
"243966","1818-07-01",25.302,2.884,"India",1818,"Normal",77.5436
"243967","1818-08-01",24.729,1.627,"India",1818,"Normal",76.5122
"243968","1818-09-01",24.058,1.452,"India",1818,"Normal",75.3044
"243969","1818-10-01",22.026,1.972,"India",1818,"Normal",71.6468
"243970","1818-11-01",19.335,4.398,"India",1818,"Cold",66.803
"243971","1818-12-01",16.178,1.43,"India",1818,"Cold",61.1204
"243972","1819-01-01",14.385,2.081,"India",1819,"Cold",57.893
"243973","1819-02-01",17.616,2.845,"India",1819,"Cold",63.7088
"243974","1819-03-01",22.021,5.902,"India",1819,"Normal",71.6378
"243975","1819-04-01",26.019,1.348,"India",1819,"Normal",78.8342
"243976","1819-05-01",28.662,1.219,"India",1819,"Hot",83.5916
"243977","1819-06-01",28.244,1.482,"India",1819,"Hot",82.8392
"243978","1819-07-01",25.901,1.101,"India",1819,"Normal",78.6218
"243979","1819-08-01",25.169,1.397,"India",1819,"Normal",77.3042
"243980","1819-09-01",24.613,0.979,"India",1819,"Normal",76.3034
"243981","1819-10-01",23.262,1.609,"India",1819,"Normal",73.8716
"243982","1819-11-01",19.983,1.474,"India",1819,"Cold",67.9694
"243983","1819-12-01",15.968,1.24,"India",1819,"Cold",60.7424
"243984","1820-01-01",14.902,4.208,"India",1820,"Cold",58.8236
"243985","1820-02-01",17.539,1.719,"India",1820,"Cold",63.5702
"243986","1820-03-01",22.622,1.686,"India",1820,"Normal",72.7196
"243987","1820-04-01",27.626,1.238,"India",1820,"Normal",81.7268
"243988","1820-05-01",29.083,1.364,"India",1820,"Hot",84.3494
"243989","1820-06-01",28.243,1.132,"India",1820,"Hot",82.8374
"243990","1820-07-01",25.972,2.486,"India",1820,"Normal",78.7496
"243991","1820-08-01",24.849,2.171,"India",1820,"Normal",76.7282
"243992","1820-09-01",24.896,1.711,"India",1820,"Normal",76.8128
"243993","1820-10-01",22.787,1.225,"India",1820,"Normal",73.0166
"243994","1820-11-01",19.562,1.243,"India",1820,"Cold",67.2116
"243995","1820-12-01",16.008,1.888,"India",1820,"Cold",60.8144
"243996","1821-01-01",17.268,2.727,"India",1821,"Cold",63.0824
