,date,datatype,station,attributes,value
0,2020-01-01T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",6
1,2020-01-02T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-17
2,2020-01-03T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",22
3,2020-01-04T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",28
4,2020-01-05T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",17
5,2020-01-06T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-33
6,2020-01-07T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-17
7,2020-01-08T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-39
8,2020-01-09T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-89
9,2020-01-10T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-17
10,2020-01-11T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",89
11,2020-01-12T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",111
12,2020-01-13T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-6
13,2020-01-14T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-6
14,2020-01-15T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",22
15,2020-01-16T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",6
16,2020-01-17T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-100
17,2020-01-18T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-117
18,2020-01-19T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",6
19,2020-01-20T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-100
20,2020-01-21T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-161
21,2020-01-22T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-167
22,2020-01-23T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-133
23,2020-01-24T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-50
24,2020-01-25T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",17
25,2020-01-26T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",33
26,2020-01-27T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",11
27,2020-01-28T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",0
28,2020-01-29T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-28
29,2020-01-30T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-94
30,2020-01-31T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-72
31,2020-02-01T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-11
32,2020-02-02T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",6
33,2020-02-03T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-28
34,2020-02-04T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-17
35,2020-02-05T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",11
36,2020-02-06T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-22
37,2020-02-07T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-6
38,2020-02-08T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-56
39,2020-02-09T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-89
40,2020-02-10T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",28
41,2020-02-11T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",17
42,2020-02-12T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",0
43,2020-02-13T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",0
44,2020-02-14T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-33
45,2020-02-15T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-144
46,2020-02-16T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-22
47,2020-02-17T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-56
48,2020-02-18T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-33
49,2020-02-19T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",11
50,2020-02-20T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-78
51,2020-02-21T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-117
52,2020-02-22T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-78
53,2020-02-23T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-50
54,2020-02-24T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-56
55,2020-02-25T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",17
56,2020-02-26T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",39
57,2020-02-27T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",50
58,2020-02-28T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-39
59,2020-02-29T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-72
60,2020-03-01T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-83
61,2020-03-02T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-39
62,2020-03-03T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",22
63,2020-03-04T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",50
64,2020-03-05T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",11
65,2020-03-06T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-50
66,2020-03-07T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",0
67,2020-03-08T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-6
68,2020-03-09T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-17
69,2020-03-10T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",39
70,2020-03-11T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",44
71,2020-03-12T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-6
72,2020-03-13T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",44
73,2020-03-14T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",33
74,2020-03-15T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",22
75,2020-03-16T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-61
76,2020-03-17T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-11
77,2020-03-18T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-28
78,2020-03-19T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",17
79,2020-03-20T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",44
80,2020-03-21T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",44
81,2020-03-22T00:00:00,TOBS,GHCND:USC00190998,",,7,0700",-50
