"","status","totalResults","articles.source.id","articles.source.name","articles.author","articles.title","articles.description","articles.url","articles.urlToImage","articles.publishedAt","articles.content"
"1","ok",20725,NA,heise online,"Wolfgang Pomrehn","Klimakrise: Die Kosten der Untätigkeit","Die Energie- und Klimawochenschau: Eine unkritische und schlecht vorbereitete Kandidatenbefragung, ein Hungerstreik fürs Klima und eine Wissenschaft ablehnende Digitalisiererin in Laschets Zukunftsteam","https://www.heise.de/tp/features/Klimakrise-Die-Kosten-der-Untaetigkeit-6192221.html","https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/3/1/6/8/7/7/4/c59a918bd1bc08a4.jpeg","2021-09-15T06:00:00Z","Rauchfahnen von Waldbränden in Ostsibirien. Aufgenommen am 8.9.21 vom Sentinel#3-Satelliten. Bild: Copernicus
Die Energie- und Klimawochenschau: Eine unkritische und schlecht vorbereitete Kandidaten… [+6821 chars]"
"2","ok",20725,independent,Independent,"Rebecca Goodman","Warnings grow over unregulated early pay plans claiming to offer financial ‘wellbeing’","Salary advance schemes are on the rise as millions struggle with cash-flow problems because of the pandemic, but are they a friend or foe?","https://www.independent.co.uk/money/salary-advance-cost-help-debt-pay-early-b1919696.html","https://static.independent.co.uk/2021/09/14/07/06bc17e7f2ca9b5b6bc36541c662e108Y29udGVudHNlYXJjaGFwaSwxNjMxNjI5NTI1-2.62312818.jpg?width=1200&auto=webp&quality=75","2021-09-15T06:00:00Z","The latest employment figures may make for reassuring reading, but the numbers behind the headlines tell a different financial story.
Around 9 million people had to borrow more money than usual beca… [+4704 chars]"
"3","ok",20725,NA,AllAfrica - Top Africa News,"AI London","Africa: Know Your Freedoms - 11 Human Rights Defenders to Follow On Instagram","Press Release -  Amnesty has collaborated with 11 artists, creatives and campaigners to illustrate the four basic freedoms on social media Four basic freedoms outlined in 1948 Universal Declaration of Human Rights have been reimagined as Freedom to Explore, B…","https://allafrica.com/stories/202109150053.html","https://cdn08.allafrica.com/static/images/structure/aa-logo-rgba-no-text-square.png","2021-09-15T05:59:32Z","<ul><li>Amnesty has collaborated with 11 artists, creatives and campaigners to illustrate the four basic freedoms on social media</li><li>Four basic freedoms outlined in 1948 Universal Declaration of… [+5057 chars]"
"4","ok",20725,NA,Streetsblog.org,"Courtney Cobbs","The solar-powered e-bike project SunPedal Ride makes a pit stop in Chicago","<!-- FeaturedImageEnd -->Sushil Reddy, the brains behind the SunPedal Ride, talks about why he's crossing the country on two wheels, with a solar assist.","https://chi.streetsblog.org/2021/09/15/the-solar-powered-e-bike-project-sunpedal-ride-makes-a-pit-stop-in-chicago/","https://chi.streetsblog.org/wp-content/uploads/sites/4/2021/09/Screen-Shot-2021-09-15-at-12.07.12-AM.png","2021-09-15T05:58:33Z","Streetsblog Chicago co-editor John Greenfield spotted a tweet from Sushil Reddy, whose handle is @SunPedal_Ride, stating that he’s traveling across the country and would be in Chicago soon. As his us… [+3174 chars]"
"5","ok",20725,NA,AllAfrica - Top Africa News,"UN News","Africa: Most Agricultural Funding Distorts Prices, Harms Environment - UN Report","[UN News] Around 87% of the $540 billion in total annual government support given worldwide to agricultural producers includes measures that are price distorting and that can be harmful to nature and health.","https://allafrica.com/stories/202109150050.html","https://cdn08.allafrica.com/static/images/structure/aa-logo-rgba-no-text-square.png","2021-09-15T05:53:14Z","Around 87% of the $540 billion in total annual government support given worldwide to agricultural producers includes measures that are price distorting and that can be harmful to nature and health.
… [+4957 chars]"
"6","ok",20725,NA,TheJournal.ie,"Press Association","California governor Gavin Newsom defeats recall election","The Democrat stays in office in the US’s most populous state, preserving his chances for a future run at federal politics.","https://www.thejournal.ie/california-governor-gavin-newsom-wins-vote-in-us-recall-5549283-Sep2021/","https://img2.thejournal.ie/article/5549283/river/?height=400&version=5549284","2021-09-15T05:52:46Z","CALIFORNIA GOVERNOR GAVIN Newsom has defeated a recall election vote aimed at kicking him out of office early.
After a contest he crafted as part of a national battle for his Democratic partys value… [+3599 chars]"
"7","ok",20725,NA,AllAfrica - Top Africa News,"UN News","Africa: From K-Pop Heroes to Net Zero - 5 Things to Look Out for At UNGA 76","[UN News] The 76th session of the UN General Assembly is due to begin on 14 September, and it will be very different from 2020's fully virtual gathering. UNGA 76 will still be overshadowed by the COVID-19 pandemic, but that won't stop leaders (some of them in…","https://allafrica.com/stories/202109150049.html","https://cdn08.allafrica.com/static/images/structure/aa-logo-rgba-no-text-square.png","2021-09-15T05:52:10Z","The 76th session of the UN General Assembly is due to begin on 14 September, and it will be very different from 2020's fully virtual gathering. UNGA 76 will still be overshadowed by the COVID-19 pand… [+6486 chars]"
"8","ok",20725,the-times-of-india,The Times of India,"Chiranjivi Chakraborty","Aswath Damodaran says ESG investing will not make you money, it's a mistake","“I believe ESG is not just a mistake that will cost companies and investors money, while making the world worse off. It creates more harm than good for society,” Damodaran, professor of finance at Stern School of Business at New York University, wrote on his …","https://economictimes.indiatimes.com/markets/stocks/news/aswath-damodaran-says-esg-investing-will-not-make-you-money-its-a-mistake/articleshow/86222275.cms","https://img.etimg.com/thumb/msid-86222331,width-1070,height-580,imgsize-36546,overlay-etmarkets/photo.jpg","2021-09-15T05:49:51Z","MUMBAI: Renowned academician Aswath Damodaran says the trend of ESG (environment, social and governance) investing that has caught on rapidly around the world would end up costing companies and inves… [+3401 chars]"
"9","ok",20725,NA,AllAfrica - Top Africa News,"ICRC","'If Your Animals Die, You Die With Them' - Herders Defenceless Against Climate Crisis","Press Release - In our latest piece exploring the link between climate change and conflict, we focus on Somalia and a way of life under threat. With COP26 on the horizon in Glasgow, UK, communities enduring conflict must be high on the agenda.","https://allafrica.com/stories/202109150047.html","https://cdn08.allafrica.com/static/images/structure/aa-logo-rgba-no-text-square.png","2021-09-15T05:45:54Z","In our latest piece exploring the link between climate change and conflict, we focus on Somalia and a way of life under threat. With COP26 on the horizon in Glasgow, UK, communities enduring conflict… [+7815 chars]"
"10","ok",20725,the-irish-times,The Irish Times,"Dominic Coyle","Dodging hard budget choices; unwelcome spotlight for medics; and Ryanair plans 5,000 jobs","Business Today: the best news, analysis and comment from The Irish Times business desk","https://www.irishtimes.com/business/dodging-hard-budget-choices-unwelcome-spotlight-for-medics-and-ryanair-plans-5-000-jobs-1.4674517","https://www.irishtimes.com/image-creator/?id=1.4674516&origw=1440","2021-09-15T05:41:47Z","The Government is adopting a risky budgetary strategy that avoids making hard choices and may ultimately overheat the economy, the Irish Fiscal Advisory Council (Ifac) has warned. Eoin Burke-Kennedy … [+3567 chars]"
